consent|warning-msg-no-opinion;Im Einwilligungsassistenten haben Sie angegeben, dass Sie unentschlossen zu unserer (${we}) Verarbeitung Ihrer ${dataCategory}-Daten für ${purpose}-Zwecke haben. Aus der Einwilligung, die Sie uns gegeben haben, schließen wir jedoch, dass Sie damit einverstanden sind. Bitte überprüfen Sie Ihre Einwilligung.
consent|issues;Konflikte
consent|issue;Konflikt
consent|tab|labels|consent;Datenschutzrichtlinie
consent|tab|labels|data-category;Datenkategorien
consent|tab|labels|purpose;Zwecke
consent|consent|ptable|header|values|date;Datum
consent|consent|ptable|header|values|event;Betreff
consent|consent|ptable|header|values|policy;Politik
consent|consent|ptable|events|values|consent-request-policy-update;Einwilligungsanfrage - Richtlinienaktualisierung
consent|consent|ptable|events|values|consent-revocation;Widerruf der Einwilligung
consent|consent|ptable|events|values|consent-giving;Einwilligungserteilung
consent|consent|ptable|events|values|consent-request-account-creation;Einwilligungsanfrage - Kontoerstellung
consent|consent|ptable|policy|active;aktiv
consent|consent|ptable|policy|inactive;inaktiv
consent|consent|ptable|footer|rows-per-page;Zeilen pro Seite
consent|data|ptable|header|values|data;Datenkategorie
consent|data|ptable|header|values|purposes;Zwecke
consent|data|ptable|header|values|issue;Konflikte
consent|data|ptable|footer|rows-per-page;Zeilen pro Seite
consent|purpose|ptable|header|values|purpose;Zweck
consent|purpose|ptable|header|values|data;Datenkategorien
consent|purpose|ptable|header|values|issue;Konflikte
consent|purpose|ptable|footer|rows-per-page;Zeilen pro Seite
consent-helper|purpose;Zweck
consent-helper|comfortable;Einverstanden
consent-helper|no-opinion;Unentschlossen
consent-helper|not-comfortable;Nicht Einverstanden
contact|new-message-to;Neue Nachricht an
contact|recipient;Empfänger
contact|message;Nachricht
help|desc;Mit dieser kurzen Umfrage möchten wir sicherstellen, dass wir Ihre Daten nur in einer Weise erheben und verwenden, mit der Sie einverstanden sind. Indem Sie diesen Fragebogen ausfüllen, können Sie uns mitteilen, wie wir mit Ihren Daten umgehen sollen. Ihre Antworten werden mit Ihrer aktuellen Einverständniserklärung abgeglichen. Anschließend erhalten Sie eine Anleitung, wie Sie Ihre Einwilligung so anpassen können, dass sie Ihren Präferenzen entspricht.
help|comfort;Wie zufrieden sind Sie damit, dass wir diese Art von Daten für die folgenden Zwecke verwenden?
